index,observationdate,sno,confirmed,deaths,recovered
0,2020-02-26,2526,1.0,0.0,0.0
1,2020-02-27,2632,1.0,0.0,0.0
2,2020-02-28,2743,1.0,0.0,0.0
3,2020-02-29,2853,2.0,0.0,0.0
4,2020-03-01,2982,2.0,0.0,0.0
5,2020-03-02,3113,2.0,0.0,0.0
6,2020-03-03,3256,2.0,0.0,0.0
7,2020-03-04,3407,4.0,0.0,0.0
8,2020-03-05,3573,4.0,0.0,0.0
9,2020-03-06,3736,13.0,0.0,0.0
10,2020-03-07,3939,13.0,0.0,0.0
11,2020-03-08,4161,20.0,0.0,0.0
12,2020-03-09,4415,25.0,0.0,0.0
13,2020-03-10,4684,31.0,0.0,0.0
14,2020-03-11,4895,38.0,0.0,0.0
15,2020-03-12,5106,52.0,0.0,0.0
16,2020-03-13,5330,151.0,0.0,0.0
17,2020-03-14,5538,151.0,0.0,0.0
18,2020-03-15,5788,162.0,0.0,0.0
19,2020-03-16,6047,200.0,0.0,1.0
20,2020-03-17,6312,321.0,1.0,2.0
21,2020-03-18,6589,372.0,3.0,2.0
22,2020-03-19,6870,621.0,6.0,2.0
23,2020-03-20,7160,793.0,11.0,2.0
24,2020-03-21,7456,1021.0,15.0,2.0
25,2020-03-22,7758,1546.0,25.0,2.0
26,2020-03-23,8062,1924.0,34.0,2.0
27,2020-03-24,8361,2247.0,46.0,2.0
28,2020-03-25,8664,2554.0,59.0,2.0
29,2020-03-26,8971,2985.0,77.0,6.0
30,2020-03-27,9282,3417.0,92.0,6.0
31,2020-03-28,9594,3904.0,111.0,6.0
32,2020-03-29,9910,4256.0,136.0,6.0
33,2020-03-30,10227,4579.0,159.0,120.0
34,2020-03-31,10544,5717.0,201.0,127.0
35,2020-04-01,10862,6836.0,240.0,127.0
36,2020-04-02,11180,8044.0,324.0,127.0
37,2020-04-03,11500,9056.0,359.0,127.0
38,2020-04-04,11820,10360.0,445.0,127.0
39,2020-04-05,12141,11130.0,486.0,127.0
40,2020-04-06,12464,12161.0,564.0,127.0
41,2020-04-07,12788,14034.0,686.0,127.0
42,2020-04-08,13112,16170.0,819.0,127.0
43,2020-04-09,13436,18092.0,950.0,173.0
44,2020-04-10,13760,19638.0,1057.0,173.0
45,2020-04-11,14085,20727.0,1124.0,173.0
46,2020-04-12,14410,22192.0,1223.0,173.0
47,2020-04-13,14734,23430.0,1328.0,173.0
48,2020-04-14,15058,25262.0,1532.0,3046.0
49,2020-04-15,15382,28320.0,1736.0,14026.0
50,2020-04-16,15706,30425.0,1924.0,14026.0
51,2020-04-17,16030,33682.0,2141.0,14026.0
52,2020-04-18,16354,36658.0,2354.0,14026.0
53,2020-04-19,16678,38654.0,2462.0,22130.0
54,2020-04-20,17002,40743.0,2587.0,22130.0
55,2020-04-21,17326,43079.0,2741.0,22991.0
56,2020-04-22,17650,45757.0,2906.0,25318.0
57,2020-04-23,17973,50036.0,3331.0,26573.0
58,2020-04-24,18297,54043.0,3704.0,27655.0
59,2020-04-25,18618,59324.0,4057.0,29160.0
60,2020-04-26,18939,63100.0,4286.0,30152.0
61,2020-04-27,19260,67446.0,4603.0,31142.0
62,2020-04-28,19585,73235.0,5083.0,32544.0
63,2020-04-29,19910,79685.0,5513.0,34132.0
64,2020-04-30,20235,87187.0,6006.0,35935.0
65,2020-05-01,20562,92202.0,6412.0,38039.0
66,2020-05-02,20889,97100.0,6761.0,40937.0
67,2020-05-03,21216,101826.0,7051.0,42991.0
68,2020-05-04,21543,108620.0,7367.0,45815.0
69,2020-05-05,21870,115455.0,7938.0,48221.0
70,2020-05-06,22197,126611.0,8588.0,51370.0
71,2020-05-07,22524,135773.0,9190.0,55350.0
72,2020-05-08,22851,146894.0,10017.0,59297.0
73,2020-05-09,23178,156061.0,10656.0,61685.0
74,2020-05-10,23505,162699.0,11123.0,64957.0
75,2020-05-11,23832,169594.0,11653.0,67384.0
76,2020-05-12,24159,178214.0,12461.0,72597.0
77,2020-05-13,24486,190137.0,13240.0,78424.0
78,2020-05-14,24814,203165.0,13999.0,79479.0
79,2020-05-15,25195,220291.0,14962.0,84970.0
80,2020-05-16,25576,233511.0,15662.0,89672.0
81,2020-05-17,25957,241080.0,16118.0,94122.0
82,2020-05-18,26338,255368.0,16853.0,100459.0
83,2020-05-19,26719,271885.0,17983.0,106794.0
84,2020-05-20,739729,291579.0,18859.0,0.0
85,2020-05-21,752041,310087.0,20047.0,0.0
86,2020-05-22,764353,330890.0,21048.0,0.0
87,2020-05-23,776665,347398.0,22013.0,0.0
88,2020-05-24,788977,363211.0,22666.0,0.0
89,2020-05-25,801289,374898.0,23473.0,0.0
90,2020-05-26,813601,391222.0,24512.0,0.0
91,2020-05-27,825913,411821.0,25598.0,0.0
92,2020-05-28,839576,438238.0,26754.0,0.0
93,2020-05-29,854633,465166.0,27878.0,0.0
94,2020-05-30,869699,498440.0,28834.0,0.0
95,2020-05-31,884792,514849.0,29314.0,0.0
96,2020-06-01,901207,526447.0,29937.0,0.0
97,2020-06-02,919222,555383.0,31199.0,0.0
98,2020-06-03,937252,584016.0,32548.0,0.0
99,2020-06-04,955288,614941.0,34021.0,0.0
100,2020-06-05,973512,645771.0,35026.0,0.0
101,2020-06-06,992088,672846.0,35930.0,0.0
102,2020-06-07,1010664,691758.0,36455.0,0.0
103,2020-06-08,1029258,707412.0,37134.0,378257.0
104,2020-06-09,1047834,739503.0,38406.0,396737.0
105,2020-06-10,1066968,772416.0,39680.0,413916.0
106,2020-06-11,1086660,802828.0,40919.0,429965.0
107,2020-06-12,1106451,828810.0,41828.0,445123.0
108,2020-06-13,1126242,850514.0,42720.0,459436.0
109,2020-06-14,1146033,867624.0,43332.0,469141.0
110,2020-06-15,1165824,888271.0,43959.0,477709.0
111,2020-06-16,1185615,923189.0,45241.0,490005.0
112,2020-06-17,1205406,955377.0,46510.0,521046.0
113,2020-06-18,1225197,978142.0,47748.0,534580.0
114,2020-06-19,1244988,1032913.0,48954.0,551631.0
115,2020-06-20,1264779,1032913.0,49976.0,589074.0
116,2020-06-21,1284570,1085038.0,50617.0,600576.0
117,2020-06-22,1304361,1106470.0,51271.0,601736.0
118,2020-06-23,1324152,1145906.0,52645.0,627963.0
119,2020-06-24,1343943,1188631.0,53830.0,660469.0
120,2020-06-25,1363734,1228114.0,54971.0,679524.0
121,2020-06-26,1383525,1274974.0,55961.0,702399.0
122,2020-06-27,1403316,1313667.0,57070.0,727715.0
123,2020-06-28,1423107,1344143.0,57622.0,746018.0
124,2020-06-29,1442898,1368195.0,58314.0,757811.0
125,2020-06-30,1462689,1402041.0,59594.0,788318.0
126,2020-07-01,1482480,1448753.0,60632.0,926192.0
127,2020-07-02,1502271,1496858.0,61884.0,957692.0
128,2020-07-03,1522062,1539081.0,63174.0,984615.0
129,2020-07-04,1541853,1577004.0,64265.0,990731.0
130,2020-07-05,1561644,1603055.0,64867.0,1029045.0
131,2020-07-06,1581435,1623284.0,65487.0,1062542.0
132,2020-07-07,1601226,1668589.0,66741.0,1107012.0
133,2020-07-08,1621017,1713160.0,67964.0,1139844.0
134,2020-07-09,1640808,1755779.0,69184.0,1171447.0
135,2020-07-10,1660599,1800827.0,70398.0,1217361.0
136,2020-07-11,1680390,1839850.0,71469.0,1244088.0
137,2020-07-12,1700181,1864681.0,72100.0,1264843.0
138,2020-07-13,1719972,1884967.0,72833.0,1291251.0
139,2020-07-14,1739763,1926824.0,74133.0,1323425.0
140,2020-07-15,1759554,1966748.0,75366.0,1350098.0
141,2020-07-16,1779345,2012151.0,76688.0,1397531.0
142,2020-07-17,1799264,2046328.0,77851.0,1428520.0
143,2020-07-18,1819397,2074860.0,78772.0,1447408.0
144,2020-07-19,1839539,2098389.0,79488.0,1459072.0
145,2020-07-20,1859681,2118646.0,80120.0,1514300.0
146,2020-07-21,1879823,2159654.0,81487.0,1555339.0
147,2020-07-22,1899965,2227514.0,82771.0,1591975.0
148,2020-07-23,1920107,2287475.0,84082.0,1620313.0
149,2020-07-24,1940249,2343366.0,85238.0,1693214.0
150,2020-07-25,1960391,2394513.0,86449.0,1785359.0
151,2020-07-26,1980533,2419091.0,87004.0,1812913.0
152,2020-07-27,2000675,2442375.0,87618.0,1846641.0
153,2020-07-28,2020835,2483191.0,88539.0,1868749.0
154,2020-07-29,2041004,2552265.0,90134.0,1922802.0
155,2020-07-30,2061173,2610102.0,91263.0,1956807.0
156,2020-07-31,2081342,2662485.0,92475.0,2008854.0
157,2020-08-01,2101511,2707877.0,93563.0,2037982.0
158,2020-08-02,2121680,2733677.0,94104.0,2062876.0
159,2020-08-03,2141849,2750318.0,94665.0,2098976.0
160,2020-08-04,2162018,2801921.0,95819.0,2157484.0
161,2020-08-05,2182187,2859073.0,97256.0,2190361.0
162,2020-08-06,2202356,2912212.0,98493.0,2230542.0
163,2020-08-07,2222525,2962442.0,99572.0,2272299.0
164,2020-08-08,2242694,3012412.0,100477.0,2321537.0
165,2020-08-09,2262863,3035422.0,101049.0,2356983.0
166,2020-08-10,2283032,3057470.0,101752.0,2390830.0
167,2020-08-11,2303201,3109630.0,103026.0,2449338.0
168,2020-08-12,2323343,3164785.0,104201.0,2506228.0
169,2020-08-13,2343485,3224876.0,105463.0,2521100.0
170,2020-08-14,2363627,3275520.0,106523.0,2616981.0
171,2020-08-15,2383769,3317096.0,107232.0,2622878.0
172,2020-08-16,2403911,3340197.0,107852.0,2655017.0
173,2020-08-17,2424053,3359570.0,108536.0,2699080.0
174,2020-08-18,2444195,3407354.0,109888.0,2751246.0
175,2020-08-19,2464337,3456652.0,111100.0,2801931.0
176,2020-08-20,2484479,3501975.0,112304.0,2844318.0
177,2020-08-21,2504621,3532330.0,113358.0,2855558.0
