ANO,MES,EMPRESA,ORIGEM,DESTINO,TARIFA,ASSENTOS
2017,8,AZU,SBRF,SBSP,"630,9",1
2017,8,AZU,SBRF,SBSP,"937,46",1
2017,8,AZU,SBRF,SBSP,"690,71",1
2017,8,AZU,SBRF,SBSP,"319,51",1
2017,8,AZU,SBRF,SBSP,"399,4",2
2017,8,AZU,SBRF,SBSP,"375,9",5
2017,8,AZU,SBRF,SBSP,"401,9",10
2017,8,AZU,SBRF,SBSP,"335,7",2
2017,8,AZU,SBRF,SBSP,"306,67",2
2017,8,AZU,SBRF,SBSP,"408,9",20
2017,8,AZU,SBRF,SBSP,"395,01",1
2017,8,AZU,SBRF,SBSP,"334,9",7
2017,8,AZU,SBRF,SBSP,"418,6",1
2017,8,AZU,SBRF,SBSP,337,10
2017,8,AZU,SBRF,SBSP,"368,9",5
2017,8,AZU,SBRF,SBSP,"262,86",1
2017,8,AZU,SBRF,SBSP,"404,8",1
2017,8,AZU,SBRF,SBSP,"405,9",1
2017,8,AZU,SBRF,SBSP,"347,56",2
2017,8,AZU,SBRF,SBSP,"371,9",24
2017,8,AZU,SBRF,SBSP,"303,3",1
2017,8,AZU,SBRF,SBSP,522,1
2017,8,AZU,SBRF,SBSP,"610,9",1
2017,8,AZU,SBRF,SBSP,391,1
2017,8,AZU,SBRF,SBSP,"359,9",1
2017,8,AZU,SBRF,SBSP,"443,7",2
2017,8,AZU,SBRF,SBSP,"380,28",2
2017,8,AZU,SBRF,SBSP,"438,9",9
2017,8,AZU,SBRF,SBSP,"600,9",2
2017,8,AZU,SBRF,SBSP,"381,84",1
2017,8,AZU,SBRF,SBSP,"364,9",5
2017,8,AZU,SBRF,SBSP,"490,9",1
2017,8,AZU,SBRF,SBSP,"361,71",3
2017,8,AZU,SBRF,SBSP,"705,9",2
2017,8,AZU,SBRF,SBSP,"371,76",1
2017,8,AZU,SBRF,SBSP,"373,06",1
2017,8,AZU,SBRF,SBSP,"784,9",4
2017,8,AZU,SBRF,SBSP,"398,9",1
2017,8,AZU,SBRF,SBSP,"1352,61",1
2017,8,GLO,SBRF,SBSP,"300,9",5
2017,8,GLO,SBRF,SBSP,"745,9",10
2017,8,GLO,SBRF,SBSP,"1999,9",10
2017,8,GLO,SBRF,SBSP,"799,59",1
2017,8,GLO,SBRF,SBSP,"429,9",20
2017,8,GLO,SBRF,SBSP,"535,9",71
2017,8,GLO,SBRF,SBSP,"399,76",2
2017,8,GLO,SBRF,SBSP,"399,35",1
2017,8,GLO,SBRF,SBSP,"683,9",2
2017,8,GLO,SBRF,SBSP,"364,9",4
2017,8,GLO,SBRF,SBSP,"469,9",3
2017,8,GLO,SBRF,SBSP,"319,9",8
2017,8,GLO,SBRF,SBSP,"925,9",6
2017,8,GLO,SBRF,SBSP,"269,9",179
2017,8,GLO,SBRF,SBSP,"239,9",416
2017,8,GLO,SBRF,SBSP,"413,9",25
2017,8,GLO,SBRF,SBSP,269,2
2017,8,GLO,SBRF,SBSP,"1320,9",1
2017,8,GLO,SBRF,SBSP,"508,9",29
2017,8,GLO,SBRF,SBSP,"247,9",2
2017,8,GLO,SBRF,SBSP,"391,9",2
2017,8,GLO,SBRF,SBSP,"306,9",3
2017,8,GLO,SBRF,SBSP,"401,9",6
2017,8,GLO,SBRF,SBSP,"379,9",115
2017,8,GLO,SBRF,SBSP,"753,9",2
2017,8,GLO,SBRF,SBSP,"395,9",255
2017,8,GLO,SBRF,SBSP,"359,9",84
2017,8,GLO,SBRF,SBSP,"1428,45",1
2017,8,GLO,SBRF,SBSP,"480,9",10
2017,8,GLO,SBRF,SBSP,"767,9",2
2017,8,GLO,SBRF,SBSP,"1180,9",19
2017,8,GLO,SBRF,SBSP,"244,9",4
2017,8,GLO,SBRF,SBSP,"450,9",4
2017,8,GLO,SBRF,SBSP,"1005,9",1
2017,8,GLO,SBRF,SBSP,"393,9",72
2017,8,GLO,SBRF,SBSP,"189,9",159
2017,8,GLO,SBRF,SBSP,"380,9",26
2017,8,GLO,SBRF,SBSP,"566,9",2
2017,8,GLO,SBRF,SBSP,"684,9",18
2017,8,GLO,SBRF,SBSP,"845,9",11
2017,8,GLO,SBRF,SBSP,"622,9",1
2017,8,GLO,SBRF,SBSP,"560,9",15
2017,8,GLO,SBRF,SBSP,"722,9",22
2017,8,GLO,SBRF,SBSP,"705,9",2
2017,8,GLO,SBRF,SBSP,"214,9",74
2017,8,GLO,SBRF,SBSP,"698,9",8
2017,8,GLO,SBRF,SBSP,"368,9",364
2017,8,GLO,SBRF,SBSP,"365,9",119
2017,8,GLO,SBRF,SBSP,"687,9",7
2017,8,GLO,SBRF,SBSP,"301,9",2
2017,8,GLO,SBRF,SBSP,"786,9",5
2017,8,GLO,SBRF,SBSP,"431,9",1
2017,8,GLO,SBRF,SBSP,"1191,17",1
2017,8,GLO,SBRF,SBSP,"909,9",2
2017,8,GLO,SBRF,SBSP,"816,9",3
2017,8,GLO,SBRF,SBSP,"410,9",2
2017,8,GLO,SBRF,SBSP,"259,9",210
2017,8,GLO,SBRF,SBSP,"843,9",1
2017,8,GLO,SBRF,SBSP,"829,9",7
2017,8,GLO,SBRF,SBSP,"347,9",1
2017,8,GLO,SBRF,SBSP,"151,9",1
2017,8,GLO,SBRF,SBSP,"623,9",4
2017,8,GLO,SBRF,SBSP,"1190,01",1
2017,8,GLO,SBRF,SBSP,"434,9",1
2017,8,GLO,SBRF,SBSP,"709,17",1
2017,8,GLO,SBRF,SBSP,"941,9",15
2017,8,GLO,SBRF,SBSP,"375,9",100
2017,8,GLO,SBRF,SBSP,"842,9",1
2017,8,GLO,SBRF,SBSP,"248,9",2
2017,8,GLO,SBRF,SBSP,"1328,9",36
2017,8,GLO,SBRF,SBSP,"389,9",1
2017,8,GLO,SBRF,SBSP,"859,9",3
2017,8,GLO,SBRF,SBSP,"966,9",23
2017,8,GLO,SBRF,SBSP,"609,9",62
2017,8,GLO,SBRF,SBSP,"420,9",8
2017,8,GLO,SBRF,SBSP,"59,1",9
2017,8,GLO,SBRF,SBSP,"398,9",200
2017,8,GLO,SBRF,SBSP,"723,9",4
2017,8,GLO,SBRF,SBSP,"325,9",556
2017,8,GLO,SBRF,SBSP,"473,9",7
2017,8,GLO,SBRF,SBSP,"590,9",13
2017,8,GLO,SBRF,SBSP,"449,9",39
2017,8,GLO,SBRF,SBSP,"528,9",2
2017,8,GLO,SBRF,SBSP,"399,9",23
2017,8,GLO,SBRF,SBSP,"562,9",24
2017,8,GLO,SBRF,SBSP,"599,9",4
2017,8,GLO,SBRF,SBSP,"415,9",8
2017,8,GLO,SBRF,SBSP,"245,9",2
2017,8,GLO,SBRF,SBSP,"204,9",1
2017,8,GLO,SBRF,SBSP,"255,9",109
2017,8,GLO,SBRF,SBSP,"676,9",2
2017,8,GLO,SBRF,SBSP,"833,9",18
2017,8,GLO,SBRF,SBSP,"315,9",481
2017,8,GLO,SBRF,SBSP,"785,9",2
2017,8,GLO,SBRF,SBSP,"336,9",2
2017,8,GLO,SBRF,SBSP,"427,9",1
2017,8,GLO,SBRF,SBSP,"652,9",1
2017,8,GLO,SBRF,SBSP,"670,9",1
2017,8,GLO,SBRF,SBSP,"639,31",1
2017,8,GLO,SBRF,SBSP,"425,9",166
2017,8,GLO,SBRF,SBSP,"579,9",77
2017,8,GLO,SBRF,SBSP,"717,9",1
2017,8,GLO,SBRF,SBSP,"318,65",1
2017,8,GLO,SBRF,SBSP,"349,9",10
2017,8,GLO,SBRF,SBSP,"275,9",508
2017,8,GLO,SBRF,SBSP,"964,9",1
2017,8,GLO,SBRF,SBSP,"308,9",63
2017,8,GLO,SBRF,SBSP,"396,68",1
2017,8,GLO,SBRF,SBSP,"509,9",43
2017,8,GLO,SBRF,SBSP,"316,9",11
2017,8,GLO,SBRF,SBSP,"647,9",55
2017,8,GLO,SBRF,SBSP,"505,9",100
2017,8,GLO,SBRF,SBSP,"329,9",156
2017,8,GLO,SBRF,SBSP,"129,1",3
2017,8,GLO,SBRF,SBSP,"574,9",1
2017,8,GLO,SBRF,SBSP,"430,9",6
2017,8,GLO,SBRF,SBSP,"668,9",2
2017,8,GLO,SBRF,SBSP,"1298,9",25
2017,8,GLO,SBRF,SBSP,"224,9",1
2017,8,GLO,SBRF,SBSP,"103,9",1
2017,8,GLO,SBRF,SBSP,"585,9",3
2017,8,GLO,SBRF,SBSP,"199,9",275
2017,8,GLO,SBRF,SBSP,"408,64",1
2017,8,GLO,SBRF,SBSP,"305,9",341
2017,8,GLO,SBRF,SBSP,"1003,9",2
2017,8,GLO,SBRF,SBSP,"825,9",32
2017,8,GLO,SBRF,SBSP,"1240,9",4
2017,8,GLO,SBRF,SBSP,"159,9",1
2017,8,GLO,SBRF,SBSP,"383,9",52
2017,8,GLO,SBRF,SBSP,"335,9",77
2017,8,GLO,SBRF,SBSP,"400,9",1
2017,8,GLO,SBRF,SBSP,"1105,9",57
2017,8,GLO,SBRF,SBSP,"355,9",360
2017,8,GLO,SBRF,SBSP,"468,9",2
2017,8,GLO,SBRF,SBSP,"518,92",5
2017,8,GLO,SBRF,SBSP,"815,9",20
2017,8,GLO,SBRF,SBSP,"719,9",1
2017,8,GLO,SBRF,SBSP,"459,9",23
2017,8,GLO,SBRF,SBSP,"285,9",59
2017,8,GLO,SBRF,SBSP,"538,9",20
2017,8,GLO,SBRF,SBSP,"209,9",2
2017,8,GLO,SBRF,SBSP,"1096,9",2
2017,8,GLO,SBRF,SBSP,"771,9",3
2017,8,GLO,SBRF,SBSP,"563,9",1
2017,8,GLO,SBRF,SBSP,"654,9",34
2017,8,GLO,SBRF,SBSP,"752,9",9
2017,8,GLO,SBRF,SBSP,"784,24",2
2017,8,GLO,SBRF,SBSP,"588,9",14
2017,8,GLO,SBRF,SBSP,"569,9",2
2017,8,GLO,SBRF,SBSP,"525,9",48
2017,8,GLO,SBRF,SBSP,"755,9",5
2017,8,GLO,SBRF,SBSP,"681,9",13
2017,8,GLO,SBRF,SBSP,"279,9",2
2017,8,GLO,SBRF,SBSP,"583,58",1
2017,8,GLO,SBRF,SBSP,"640,9",1
2017,8,GLO,SBRF,SBSP,"749,9",1
2017,8,GLO,SBRF,SBSP,"99,1",5
2017,8,GLO,SBRF,SBSP,"510,9",12
2017,8,GLO,SBRF,SBSP,"555,9",35
2017,8,GLO,SBRF,SBSP,"289,9",67
2017,8,GLO,SBRF,SBSP,"219,9",144
2017,8,GLO,SBRF,SBSP,"352,9",2
2017,8,GLO,SBRF,SBSP,"479,9",54
2017,8,GLO,SBRF,SBSP,"933,9",3
2017,8,GLO,SBRF,SBSP,"558,9",24
2017,8,GLO,SBRF,SBSP,249,6
2017,8,GLO,SBRF,SBSP,"1438,9",6
2017,8,GLO,SBRF,SBSP,"615,9",2
2017,8,GLO,SBRF,SBSP,"350,9",12
2017,8,GLO,SBRF,SBSP,"596,9",3
2017,8,GLO,SBRF,SBSP,"534,9",1
2017,8,GLO,SBRF,SBSP,"905,28",1
2017,8,GLO,SBRF,SBSP,"795,9",42
2017,8,GLO,SBRF,SBSP,"423,9",70
2017,8,GLO,SBRF,SBSP,"620,9",2
2017,8,GLO,SBRF,SBSP,"1041,9",3
2017,8,GLO,SBRF,SBSP,"1665,9",4
2017,8,GLO,SBRF,SBSP,"532,9",22
2017,8,GLO,SBRF,SBSP,"879,9",1
2017,8,GLO,SBRF,SBSP,"489,9",9
2017,8,GLO,SBRF,SBSP,"1210,9",27
2017,8,GLO,SBRF,SBSP,"913,9",2
2017,8,GLO,SBRF,SBSP,"751,9",2
2017,8,GLO,SBRF,SBSP,"280,9",33
2017,8,GLO,SBRF,SBSP,"1135,9",43
2017,8,GLO,SBRF,SBSP,"699,9",2
2017,8,GLO,SBRF,SBSP,"278,9",114
2017,8,GLO,SBRF,SBSP,"803,9",14
2017,8,GLO,SBRF,SBSP,"475,9",12
2017,8,GLO,SBRF,SBSP,"409,9",50
2017,8,GLO,SBRF,SBSP,"996,9",15
2017,8,GLO,SBRF,SBSP,"1696,9",2
2017,8,GLO,SBRF,SBSP,"657,9",14
2017,8,GLO,SBRF,SBSP,"801,9",13
2017,8,GLO,SBRF,SBSP,"793,42",1
2017,8,GLO,SBRF,SBSP,"677,9",61
2017,8,GLO,SBRF,SBSP,"345,9",360
2017,8,GLO,SBRF,SBSP,"287,9",2
2017,8,GLO,SBRF,SBSP,"715,9",8
2017,8,GLO,SBRF,SBSP,"385,9",43
2017,8,GLO,SBRF,SBSP,"594,9",2
2017,8,GLO,SBRF,SBSP,"883,9",3
2017,8,GLO,SBRF,SBSP,"419,9",30
2017,8,GLO,SBRF,SBSP,"831,9",15
2017,8,GLO,SBRF,SBSP,"911,9",45
2017,8,GLO,SBRF,SBSP,"651,9",32
2017,8,ONE,SBRF,SBSP,329,1
2017,8,ONE,SBRF,SBSP,"324,98",1
2017,8,ONE,SBRF,SBSP,"499,05",1
2017,8,ONE,SBRF,SBSP,325,18
